text,predicted class
"Νομίζω ότι η ερώτηση , ή αυτό που κρύβεται πίσω από τον συλλογισμό σας , είναι ένα από τα ζητήματα τα οποία πιστεύω ότι πρέπει να αντιμετωπιστούν στο μέλλον , στην αναθεώρηση της οδηγίας ΕΠΕ , αλλά δεν μπορώ να σας δώσω μια απάντηση τώρα ως προς το ποια κατεύθυνση θα ακολουθήσουμε . "" συζήτηση ξεκινάει τώρα και σίγουρα θα εξετάσω αυτές τις λεπτομέρειες στο μέλλον .",3
"Επιπλέον , απλοποιήθηκε σημαντικά η διαδικασία συναπόφασης .",3
Δεν θα επιλύσουμε πλήρως το πρόβλημα της κινητικότητας χάρη στο εν λόγω τέλος · ασφαλώς όχι .,3
"Ωστόσο , προσωπικά ζω σε μια λωρίδα γης , κατά μήκος της οποίας μεταφέρονται ετησίως 50 εκατομμύρια τόνοι εμπορευμάτων , και πιστεύω ότι , παράλληλα με το δικαίωμα των πολιτών σε αποδοτικές μεταφορές , υπάρχει και το δικαίωμα των πολιτών που ζουν κατά μήκος των οδών στην προστασία τους από τον αντίκτυπο και τις επιπτώσεις αυτών των μεταφορών .",3
"Θέλουμε επίσης να προωθήσουμε συστήματα υποστήριξης των οργανώσεων νέων και των οργανώσεων της κοινωνίας των πολιτών που αφορούν τους νέους , καθώς και τη συνοχή μεταξύ των νέων ακόμα και πέρα από τα σύνορα της Ευρώπης .",3
Πιστεύω ότι θα έπρεπε να συγκρατήσουμε και την εξέλιξη αυτή εάν έχουμε προ των οφθαλμών μας την θέση απ όπου ξεκινήσαμε .,3
""" ομάδα δράσης έχει ένα συγκεκριμένο πρόγραμμα εργασίας δύο φάσεων που προβλέπει τη δημοσίευση των αποτελεσμάτων τον Δεκέμβριο του 2009 και τον Ιούνιο του 2010 .",3
Πρέπει να αποτελεί απόλυτη προτεραιότητα .,3
""" πρόοδος στις διαπραγματεύσεις για το εν λόγω πρόγραμμα εξαρτιόταν από τη συμφωνία για τις δημοσιονομικές προοπτικές του προηγούμενου Μαΐου .",3
"Στην περίπτωση Λουκασένκο όμως , δεν πρέπει να συγχέουμε την προάσπιση της ανεξαρτησίας με την προάσπιση των προσωπικών συμφερόντων του και με την επιθυμία του να διατηρήσει την εξουσία πάση θυσία .",3
Στρατηγική Εταιρική Σχέση ΕΕ-Βραζιλίας - Στρατηγική εταιρική σχέση ΕΕ-Μεξικού ( συζήτηση ),3
"Γνωρίζω πολύ καλά ότι αυτό ενδεχομένως εμφανίζεται ουτοπικό στους υπέρμαχους του οικονομικού ρεαλισμού , αλλά εάν το όνειρο το οποίο κυνηγάτε δεν είναι αρκετά μεγάλο , τότε όσο και αν το κυνηγάτε δεν πρόκειται να το πετύχετε .",3
"Τέτοια σενάρια , κύριε Πρόεδρε του Συμβουλίου , δεν αποτελούν σίγουρα την κατάλληλη απάντηση στις προσδοκίες των πολιτών .",3
"Κύριε Πρόεδρε , Ύπατη Εκπρόσωπε , κύριε Επίτροπε , κυρίες και κύριοι , έχουμε καθήκον έναντι των θυμάτων της Αϊτής να βοηθήσουμε τους ανθρώπους αυτούς να ανοικοδομήσουν μια χώρα η οποία ήταν κατεστραμμένη προτού ακόμη την ισοπεδώσει σχεδόν τελείως μια φυσική καταστροφή .",3
"Κύριε Πρόεδρε , το λέω αυτό , επειδή το πιστεύω πραγματικά : η Σύνοδος Κορυφής του Λάκεν είναι πάρα πολύ σημαντική επειδή εκεί θα συζητηθεί η μελλοντική πορεία που θα ακολουθήσει η παρούσα Ευρωπαϊκή Ένωση .",3
""" έκθεση επισημαίνει και άλλους παράγοντες που συμβάλλουν στην υποεκπροσώπηση των γυναικών στον τομέα αυτόν και , δυστυχώς , σε πολλούς άλλους επαγγελματικούς τομείς .",3
"Επίσης , σύμφωνα με τις προτάσεις μας , η ενδεχόμενη προσφυγή στην από κοινού ρύθμιση θα αποφασίζεται κατά περίπτωση , κατόπιν γνωμοδότησης του Ευρωπαϊκού Κοινοβουλίου .",3
""" απόφαση αυτή πρέπει να λαμβάνει υπόψη το γεγονός ότι στις 12 Σεπτεμβρίου 2007 η Μάλτα υπέβαλε αίτηση κινητοποίησης του Ταμείου σχετικά με 675 απολύσεις στον κλάδο της υφαντουργίας , ειδικά για τους εργαζόμενους που απολύθηκαν από την VF ( Malta ) Ltd και την Bortex Clothing Ind .",3
"Η Ομάδα μου και εγώ είμαστε επίσης της άποψης ότι δεδομένου ότι η ασφάλεια είναι ζήτημα δημόσιου συμφέροντος και επιβάλλεται να υπάρχει εγγύηση για την ασφάλεια όλων των πολιτών που χρησιμοποιούν τις υπηρεσίες αεροπορικών εταιριών , θα πρέπει να συμμετέχει και το δημόσιο στο κόστος που προκύπτει από τα αυξημένα μέτρα ασφαλείας .",3
"Είναι άσχετα τα δύο πράγματα , διότι έρχεται η προθεσμία των κανονισμών του ΙΜΟ που συνέπεσε να είναι η 1η Οκτωβρίου και να περιλαμβάνει αυτά τα πλοία ως ακατάλληλα .",2
Στην ουσία όλοι συμφωνούμε ότι ο πολιτισμός και οι τέχνες αποτελούν θεμελιώδες μέρος της παιδείας .,3
Δεν υπάρχει τίποτα επιλήψιμο σε αυτή τη σύμβαση και τα πρωτόκολλα εκτός του ότι δεν έχουν ακόμα κυρωθεί όλα και κατά συνέπεια δεν έχουν τεθεί σε ισχύ .,3
"Ελπίζω , συνεπώς , ότι τα πορίσματα της Επιτροπής της Βενετίας θα κατατείνουν προς την έγκριση από το παρόν Σώμα ψηφίσματος που θα καταδεικνύει ότι η κυβέρνηση Fidesz δεν είναι καλή για την Ουγγαρία .",3
"Είναι μία αμφισβητούμενη έκθεση που προσθέτει , σε ένα θέμα που η Επιτροπή δεν το έθιγε , το πρόβλημα των γενετικά τροποποιημένων οργανισμών .",3
"Λογική που ευνοεί τις καπιταλιστικές αναδιαρθρώσεις , τη σκληρότερη εκμετάλλευση των εργαζομένων και την ενίσχυση των κατασταλτικών και αντιδημοκρατικών μηχανισμών .",3
Περάστε στην πράξη !,3
"Ψήφισα υπέρ της χορήγησης απαλλαγής για το 2009 στην κοινή επιχείρηση της τεχνολογικής πρωτοβουλίας για τα καινοτόμα φάρμακα διότι , όπως καταδεικνύει η έκθεση , το Ελεγκτικό Συνέδριο θεώρησε ότι οι λογαριασμοί της επιχείρησης και οι υποκείμενες πράξεις είναι αξιόπιστες .",3
"Ψηφίζω την παρούσα έκθεση , υπό την προϋπόθεση ότι θα συνεχιστεί η αναγκαία συζήτηση επί του εν λόγω θέματος , ούτως ώστε να βελτιωθεί το νομικό του πλαίσιο .",3
& # 160 ; & # 160 ; .,3
Το Ευρωπαϊκό Κοινοβούλιο αναγκάστηκε να αγωνιστεί για πολύ καιρό για τη συναπόφαση στον τομέα της γεωργίας .,3
"& # 160 ; & # 160 ; Κυρία Πρόεδρε , κύριε Winkler , κυρίες και κύριοι , ποια είναι η γνώμη σας για την πρόταση διεξαγωγής διάσκεψης της G24 το πρώτο εξάμηνο του 2006 για την υποστήριξη της ειρηνευτικής διαδικασίας ;",3
" Ομως , όπως γνωρίζετε , στο παρελθόν για την αντιμετώπιση αυτών των προβλημάτων χρειάσθηκαν πάρα πολλές συζητήσεις εντός της Ευρωπαϊκής Επιτροπής , συζητήσεις οι οποίες , από ό , τι φάνηκε , δεν κατέληξαν σε ένα συγκεκριμένο συμπέρασμα και δεν κατέληξαν σε μία συγκεκριμένη πρόταση .",3
Tότε όμως θα πρέπει να λάβουμε υπόψη και περιφερειακούς όρους .,3
Σας λέω με χαρά μου ότι περισσότερα από τα μισά κράτη μέλη χαρακτήρισαν σε αυτά τα εθνικά μεταρρυθμιστικά προγράμματα την πολιτική για τις ΜΜΕ ως εθνική προτεραιότητα .,3
( Το Σώμα χειροκρότησε όρθιο τον ομιλητή ) .,3
Στις 12 και 13 Δεκεμβρίου 1996 διεξήχθη στις Βρυξέλλες συνεδρίαση υψηλού επιπέδου της επιτροπής σύνδεσης της Επιτροπής των ΕΚ και του Διεθνούς Οργανισμού Ατομικής Ενέργειας ( IAEA ) με θέμα τη συνεργασία ανάμεσα στους επιθεωρητές της EURATOM και της IAEA στα πυρηνικά εργοστάσια της Ευρωπαϊκής Ένωσης .,3
"( Μετά την ψηφοφορία , η αναταραχή επιτείνεται )",3
Δεδομένου ότι υπάρχουν πιθανότητες για κάποια συμπεφωνημένη λύση είμαι έτοιμος να περιμένω πριν ξεκινήσω τη διαδικασία με την ελπίδα ότι θα βρεθεί κάποια λύση .,3
Ας προχωρήσουμε παραπέρα σε αυτόν τον δρόμο .,3
"Επιπλέον , το νέο σύνταγμα που πρόσφατα καταρτίστηκε από την Εθνική Σύμβαση στη Βιρμανία είναι υποκριτικό για τον απλό λόγο ότι στη διαδικασία κατάρτισής του δεν συμμετείχε κανένα δημοκρατικά εκλεγμένο μέλος της αντιπολίτευσης .",3
"Ο ισχυρός άνδρας της Βιρμανίας σήμερα είναι ο Στρατηγός Than Shwe , ένα άτομο αμφιβόλου ψυχολογικής σταθερότητας , ο οποίος λέγεται ότι είναι επικίνδυνα εσωστρεφής και προληπτικός και συχνά λαμβάνει σημαντικές κρατικές αποφάσεις συμβουλευόμενος αστρολόγους .",3
"Ολόκληρη η χώρα βασανίζεται από ένα μεταβατικό καθεστώς , το οποίο εγκαθιδρύθηκε παράνομα και το οποίο οδηγεί αυτήν τη χώρα στην αναρχία .",3
Περιθωριοποιούμε εαυτούς με την προσέγγιση αυτή .,3
"Αυτό πρέπει να το λάβουμε υπόψη κατά την θέσπιση νομοθεσίας , και σίγουρα σήμερα δεν το λαμβάνουμε υπόψη .",3
"Το πεδίο των περιβαλλοντικών τομέων επεκτάθηκε , και το Συμβούλιο συμφώνησε ότι χρειάζεται να γίνει μια συνολική εκτίμηση του τρέχοντος προγράμματος .",3
"Τέλος , η πολιτική μου Ομάδα συμφωνεί με την προοδευτική κατάργηση κάθε μορφής διακρίσεων .",3
"Αυτή η πρωτοβουλία , όπως και αυτή που ψηφίσαμε χθες όσον αφορά την ενεργειακή απόδοση των κτιρίων , αποτελεί μέρος δέσμης νομοθετικών μέτρων για την ενεργειακή απόδοση που υποβλήθηκε από την Επιτροπή τον Νοέμβριο του 2008 και αποτέλεσε αντικείμενο ευρύτατης συζήτησης στο Κοινοβούλιο , την Επιτροπή και το Συμβούλιο · τώρα , επιτέλους , επιτυγχάνεται συμφωνία για το τελικό κείμενο .",3
"Τέλος , πρέπει να προβούμε σε πλήρη αναθεώρηση της πολιτικής μας για τη Μεσόγειο .",3
"Όσο περισσότερο συνεχίζονται οι σφαγές , οι λεηλασίες και οι εθνικοί διωγμοί των Αλβανών , τόσο περισσότερο θα δυναμώνει η υποστήριξη στον ΑΣΚ και τόσο περισσότερο θα εξασθενεί η υποστήριξη στον Rugova .",3
"Δηλαδή το Συμβούλιο περιμένει την υποβολή νέων προτάσεων από την Επιτροπή , με τις οποίες και θα ασχοληθεί .",3
Θα το κάνουμε .,3
"Αποτελεί κοινή ευθύνη της Επιτροπής και των κρατών μελών να επιταχύνουν και να απλουστεύσουν τις πληρωμές και , κατά συνέπεια , να αποκαταστήσουν την αξιοπιστία του προϋπολογισμού της Ευρωπαϊκής Ένωσης .",3
Πιστεύω ότι δύο πράγματα θα είναι πολύ σημαντικά κατά τη διάρκεια των επόμενων μηνών .,3
"Νομίζω ότι θα ήταν σωστό , αν βλέπουμε σωστά τα μηνύματα , να θέλουμε να πάμε σε μια Ευρώπη πιο συλλογική και πιο δημοκρατική · να θέλουμε να πάμε σε μια Ευρώπη πιο ειρηνική , που να αναζητά την επίλυση των διαφορών με ειρηνικά μέσα · να θέλουμε να πάμε σε μια Ευρώπη πιο οικολογική που να σέβεται και να αγαπά το περιβάλλον · να θέλουμε να πάμε σε μια Ευρώπη πιο ασφαλή · να θέλουμε να πάμε σε μια Ευρώπη με περισσότερες κοινωνικές ευαισθησίες · να θέλουμε να πάμε σε μια Ευρώπη πιο αποτελεσματική , ιδιαίτερα ενόψει των προκλήσεων του 21ου αιώνα .",3
"Μία από τις ανησυχίες μου σχετικά με την κινεζική πολιτική είναι το γεγονός ότι καταστρέφει τις προσπάθειες της ΕΕ , και τις προσπάθειες άλλων χορηγών βοήθειας , να δημιουργήσουν τις προϋποθέσεις ή να θέσουν όρους για τη βοήθεια .",3
""" εφαρμογή του άρθρου 50 του Κανονισμού λειτούργησε επίσης πολύ καλά , επιτρέποντάς μας να συνεργαστούμε αποτελεσματικά με την Επιτροπή Αναφορών .",3
Θα πρέπει λοιπόν να διακρίνουμε την ήρα από το σιτάρι .,3
Σας παρακαλώ λοιπόν να καταστήσετε σαφές ότι τις αποφάσεις τις παίρνει το Ευρωπαϊκό Κοινοβούλιο και ότι αυτό είναι και το όργανο που σας ελέγχει !,3
Είναι πράγματι μία επιβράβευση που αξίζει τον κόπο και αξίζει να αποκτηθεί άμεσα .,3
Το μόνο συμπέρασμα που μπορώ να βγάλω είναι ότι προτιμήθηκε ο άνδρας υποψήφιος .,3
"Έτσι , όταν ακούω τον Επίτροπο να μιλά για αξίες και πρότυπα της ΕΕ , λαμβάνοντας υπόψη την υποστήριξή του στις κυρώσεις κατά του Ιράκ αναρωτιέμαι πόσο ειλικρινής είναι άραγε όσον αφορά τα παιδιά στην Τουρκία .",3
"Επιπλέον , η πρόσβαση στις υπηρεσίες έκτακτης ανάγκης μέσω του 112 μπορεί να αποκλειστεί σε περίπτωση επανειλημμένης κατάχρησης από τον χρήστη και το 112 θα είναι περισσότερο προσβάσιμο για τα άτομα με αναπηρίες .",3
"Γιατί δεν υπάρχει , αν το Συμβούλιο σοβαρολογεί όταν μας λέει σ  αυτό το έγγραφο ότι κατέληξε σε μια εφικτή λύση με υψηλό ποσοστό ασφάλειας και φιλικότητας προς το χρήστη .",3
"Ξέρουμε όλοι ότι για τα πολυετή προγράμματα είναι σημαντικό το χρονικό σημείο της έναρξης και γι  αυτό η πρώτη μου παράκληση είναι , για καθαρά χρονικούς λόγους , να ψηφίσουμε σήμερα γι  αυτή τη συμφωνία .",3
"Θέλω να ρωτήσω την Επίτροπο , κ . Cresson , ποιές είναι οι ενέργειες που καταβάλλονται για την απελευθέρωση του κ . Vanunu .",3
"Κυρία Πρόεδρε , και η Ευρωπαϊκή Ένωση και τα κράτη μέλη της έχουν υπογράψει τη Συνθήκη του ΟΗΕ για τη βιοποικιλότητα .",3
"Κατά συνέπεια , η τροπολογία που αποσκοπεί να αναφέρεται σ  αυτήν και το άρθρο 7 είναι περιττή .",3
Πρέπει να παραδεχτούμε ότι αποτελεί επίσης ένα μέσο αποκατάστασης της ευημερίας των συναλλαγών .,3
Τον συγχαίρω για αυτό .,3
"Κύριε Πρόεδρε , εν γένει , η Ομάδα των Σοσιαλιστών υποστηρίζει το ψήφισμα του κυρίου Aldo , αλλά η προφορική τροπολογία που προτείνει έχει ένα αρκετά βαθύ περιεχόμενο και συνεπώς δεν πιστεύω πως θα μπορούσαμε να την δεχτούμε αυτήν τη στιγμή , δηλαδή δεν πρόκειται για μια απλή τυπική τροπολογία , αλλά πρόκειται για μια τροπολογία η οποία έχει βαθύ νόημα .",3
Πρόσφατα επεξεργάστηκαν πολύ εντατικά το σύστημα πιστωτικών καρτών και οι τιμές και τα έξοδα που προκύπτουν από τα συστήματα αυτά διαφέρουν σημαντικά .,3
Για ποιο πράγμα μιλάω ;,3
Υπάρχουν στην παρούσα φάση στον παγκόσμιο ιστό περίπου 260 & # 160 ; εκατομμύρια ιστότοποι πορνογραφικού περιεχομένου και 470 ιστότοποι παιδεραστίας .,3
"Έχοντας επίγνωση των δυσκολιών που εμφανίστηκαν πρόσφατα , αλλά με έμπνευση που πηγάζει από την ελπίδα για καλύτερες μέρες για την Ευρωπαϊκή Ένωση και το ευρωπαϊκό εγχείρημα , εύχομαι σε αυτόν , και στην ομάδα του , κάθε επιτυχία .",3
"Πρέπει να οικοδομήσουμε αυτήν τη στρατηγική με βάση τη συνεργασία -επενδύοντας συγκεκριμένα στη διαλειτουργικότητα και δημιουργώντας επιχειρησιακές δυνατότητες επί τόπου- αλλά εκείνο που συχνά λείπει ιδιαίτερα από αυτήν τη διάσταση των πολιτικών μας είναι η δημόσια στήριξη . "" αναγνώριση της ανάγκης και της σημασίας που προσλαμβάνει η αποτελεσματικότητα της διάστασης της ασφάλειας και της άμυνας εξαρτάται κατά μέγα μέρος από τη στήριξη της κοινής γνώμης , η οποία πρέπει να δημιουργηθεί , αυτή δε η στήριξη εξαρτάται σε πολύ μεγάλο βαθμό από τις προσπάθειές μας .",3
"Θέλουμε να μπορούν να χρησιμοποιούν τους δικούς τους πόρους , τις εισφορές και τις χορηγίες των μελών , προκειμένου να συγκεντρώνουν αποθέματα , τα οποία θα μπορούν να δαπανηθούν ανάλογα με τα κεντρικής σημασίας γεγονότα στην πολιτική και ειδικότερα , φυσικά , στις ευρωπαϊκές εκλογές .",3
"Βάσει της νέας κοινής γεωργικής πολιτικής , η εναλλαγή των γενεών πρέπει , επομένως , να θεωρείται μία από τις προτεραιότητες .",3
"Ίσως δεν υπήρχε αρκετός καιρός για να αναπτυχθούν σε βάθος , αλλά θέλω να υπογραμμίσω τη δέσμευση που ανέλαβε η ιρλανδική προερία , στο πλαίσιο του Ευρωπαϊκού Συμβουλίου της Φλωρεντίας , για τη στήριξη των προτάσεων αυτών .",3
"Δεν αναφέρομαι στα κατοικίδια ζώα , τις κοκορομαχίες , κυνομαχίες , όπου συμφωνώ με όσα λέει η εισηγήτρια αλλά αναφέρομαι στα εκτρεφόμενα ζώα .",3
"Υπό την προϋπόθεση ότι μεσολαβεί στάδιο μεταποίησης , αυτές οι χώρες δύνανται νόμιμα να εξάγουν αυγά που έχουν παραχθεί σε συστοιχίες κλωβών μετά την απαγόρευση στο "" νωμένο Βασίλειο .",3
Από αυτή την άποψη θα ήθελα να τονίσω ότι η Ιταλική Προεδρία κατόρθωσε να επιλύσει μία από τις σοβαρότερες κρίσεις που άποτελούσε τροχοπέδη στη ζωή της Ευρώπης και που θα μπορούσε να διακόψει τη συνέχεια και την πορεία της Ευρωπαϊκής Ένωσης προς τα εμπρός .,3
Αυτό δείχνει ότι η συναίσθηση πως είσαι επίτροπος κινητοποιεί τις δυνάμεις .,3
"Νομίζω πως η κρίση της BSE ήταν μια εξαιρετική ευκαιρία , από τη σκοπιά της διακυβερνητικής διάσκεψης , διότι κατέστησε σαφές στον καθένα στην Ευρώπη ότι θα πρέπει να επεξεργασθούμε μια Συνθήκη που να λειτουργεί , ακόμη κι αν υπάρχει ένας μη συνεργάσιμος εταίρος .",3
Εγώ πιστεύω ότι εάν προσπαθήσουμε πραγματικά μπορούμε να ξεπεράσουμε τον στόχο αυτό και να πάμε για το 20 % .,3
"Σ  αυτήν περιλαμβάνονται και τα δεκατέσσερα έργα του Έσσεν , τα οποία συμπεριλάβαμε σ  έναν κατάλογο .",3
Η αναβολή της ατυχούς αυτής πρότασης αποτελεί ένα από τα χαρακτηριστικότερα δείγματα λανθασμένου χειρισμού μέσω των οποίων δύναται να καταρρακωθεί το κύρος της Επιτροπής .,3
"Επεδίωξε την προσέγγιση πολλών ατόμων στο Κοινοβούλιο και εκτός αυτού , στους κύκλους των ερευνητών , ώστε να πραγματοποιήσει μια ευφυή συζήτηση για το θέμα και να προετοιμάσει έναν καλό συμβιβασμό .",3
Μου δημιουργεί όμως ερωτηματικά η μη υποβολή αιτήσεων από χώρες της Μεσογείου .,3
"Η Επιτροπή Πολιτισμού έχει πολλούς λόγους να χαίρεται γι  αυτή την έκθεση , στην οποία περιλαμβάνονται πολλοί από τους προβληματισμούς της , που περιλαμβάνονταν στη γνωμοδότησή μου , δηλαδή η ψηφιακή τεχνολογία και υποδομή όσον αφορά τις δημιουργίες και τα έργα , η προστασία και η αξιοποίηση της ιστορικής και πολιτιστικής παράδοσης , οι πρακτικές ντόπινγκ - δεδομένου , ότι η Επιτροπή Πολιτισμού είναι επίσης Επιτροπή Νεότητας και Αθλητισμού - η ιστορία της Ευρώπης , η εξ αποστάσεως εκπαίδευση και η κινητικότητα των ερευνητών .",3
"Εδώ μιλάμε για έρευνα , μιλάμε για το μέλλον της καθαρής ενέργειας .",3
"Ο μόνος λόγος για τον οποίο υπερψηφίσαμε την έκθεση αυτή είναι ότι δεν επιθυμούμε να παραβλάψουμε ορισμένους ερευνητικούς προσανατολισμούς που υποστηρίζονται από αυτήν και που ακολουθούν την κατεύθυνση μιας επιστημονικής , ιατρικής και τεχνολογικής προόδου , ούτε επίσης να διακινδυνεύσουμε να στερηθούν οι ερευνητές του ιδιωτικού τομέα τις χρηματοδοτήσεις που χρειάζονται .",3
"Μια πρόσκληση που βέβαια δεν εκτείνεται μόνο στην Κορέα , αλλά και σε άλλες χώρες , κυρίως εκείνης της περιοχής .",3
"Με αυτόν τον τρόπο , επιφέραμε σημαντική ζημία στην παραγωγή χυμών σταφυλιού , η οποία μας επιτρέπει να αξιοποιούμε χιλιάδες επί χιλιάδων εκατόλιτρα μούστου .",3
Δεν πρέπει επίσης να ξεχνάμε ότι το προσωπικό θα πρέπει επίσης να είναι ικανό να προσφέρει ψυχολογική στήριξη καθώς πολλές γυναίκες έχουν υποστεί ψυχικά τραύματα στο παρελθόν .,3
"Όταν ξεκίνησε η διαδικασία της ευρωπαϊκής ολοκλήρωσης , η κοινή γεωργική πολιτική δεν εξασφάλισε μόνο τον επισιτιστικό εφοδιασμό του πληθυσμού , αλλά έθεσε και τα θεμέλια για μία σύγχρονη ευρωπαϊκή γεωργία και άλλες ειδικές πολιτικές .",3
"Αναφέρονται μόνον "" οι εκτροπές , οι καταχρηστικές χρήσεις υπό όρους εθνικιστικούς , ρατσιστικούς ή ξενόφοβους "" .",3
Συμμερίζομαι την ανακοίνωση και τη γενική κατεύθυνση που ακολουθείται από τον συνάδελφό μας .,3
"Οι δύο αυτές τροπολογίες αντιπροσωπεύουν την φιλοσοφία που θα έπρεπε να διατηρήσει , σύμφωνα με το σκεπτικό μας , η Οδηγία σχετικά με τα συστατικά .",3
Η συζήτηση έληξε .,3
Το ζήτημα είναι να αναπτύξουμε μια συνεχώς αυξανόμενη εξοικείωση των δικαστών και δικηγόρων με τις αρχές του κοινοτικού δικαίου .,3
"Ο καθένας ξέρει ότι στα σύγχρονα γραφεία σύνταξης , οι διαφωνούντες δημοσιογράφοι απομακρύνονται πολύ διακριτικά και ύπουλα .",3
"Με τον τρόπο αυτόν , δεν καλύπτουμε μόνο μια υπόθεση , δηλαδή την υπόθεση του αρχιεπισκόπου , η οποία θα μπορούσε να εξεταστεί σε ένα άλλο θέμα .",3
Επομένως πιέστε και εσείς μαζί μας για την αυστηρή τήρηση των κριτηρίων σύγκλισης .,3
Ο τομέας αφορολογήτων ειδών αντίθετα αύξησε μεταξύ 1991 και 1995 τις πωλήσεις του κατά 50 % περίπου και δημιούργησε φυσικά έτσι ένα απαράδεκτο μέσο πίεσης .,3
"Θα σας έλεγα μόνο , σχετικά με τις τροπολογίες της Ομάδας σας , ότι μια από αυτές έχει ένα μικρό σφάλμα που αφορά την ημερομηνία κατά την οποία η Ελλάδα εισέρχεται στον συναλλαγματικό μηχανισμό του Ευρωπαϊκού Νομισματικού Συστήματος .",3
Οι δράσεις της Ρωσίας σε αυτό το θέμα και σε άλλους τομείς θα ληφθούν υπόψη στις διαπραγματεύσεις σχετικά με τη σύναψη μιας νέας συμφωνίας με τη Ρωσία - που είναι πολύ σημαντική - καθώς επίσης και σε άλλες πλευρές των σχέσεων ΕΕ-Ρωσίας .,3
A Military History of the Western World .,3
"Είμαι βέβαιος ότι αν εξετάσουμε τις πρακτικές πρόσληψης του δημόσιου τομέα γενικά και το πώς προσλαμβάνονται οι άνθρωποι ως νέοι υπάλληλοι , τότε ο κατάλογος της Επιτροπής δεν είναι τόσο κακός .",3
Ποτέ δεν μπορούν οι απειλές να δημιουργήσουν εμπιστοσύνη και κοινωνική συνοχή .,3
Η κατάσταση είναι γνωστή .,3
"Θέτουμε σε αποθεματικό 40 εκατ. ευρώ από τους συσσωρευμένους τόκους των πιστώσεων του ΕΤΑ , τα οποία θα πρέπει να καλύψουν το κόστος στις περιπτώσεις των 6 πρώτων χωρών .",3
"Από την άλλη πλευρά , αν το εξετάσουμε από την άποψη του μέλλοντος των συνταξιοδοτικών μας συστημάτων , η γήρανση του πληθυσμού προκαλεί πραγματικό πονοκέφαλο στους φορείς λήψης πολιτικών αποφάσεων και στους υπέρμαχους των ισοσκελισμένων προϋπολογισμών .",3
Είναι ανάγκη να διατηρηθεί μια ισορροπία μεταξύ των τριών διαστάσεων του Οργανισμού για την Ασφάλεια και τη Συνεργασία στην Ευρώπη ( ΟΑΣΕ ) .,3
"Σημείωσα , κύριε Πρόεδρε , ότι μιλήσατε για "" την κοινή μας επέτειο "" και επιτρέψτε μου να σας πω ότι μας άγγιξε ιδιαίτερα η αναφορά αυτή .",3
"η ενθάρρυνση της κρατικής παρέμβασης για την αύξηση της μερικής απασχόλησης και της ευέλικτης εργασίας , παραγνωρίζοντας τις συνέπειες των πρακτικών αυτών , όπως η υποτίμηση της εργασίας , οι χαμηλοί μισθοί , η επισφαλής εργασία , καθώς και η αύξηση του αριθμού των εργαζομένων με εισόδημα κάτω από το όριο της φτώχειας ·",3
Ζητείται δε ενίσχυση της συνεργασίας μεταξύ των κρατών μελών και συντονισμός των κρατών μελών με το Ευρωπαϊκό Κέντρο Πρόληψης και Ελέγχου Νόσων ( ΕΚΠΕΝ ) .,3
"Είναι αρκετά λυπηρό να αναφέρουμε πόσο φτωχές είναι οι εθνικές στατιστικές -και , συνεπώς , οι ευρωπαϊκές στατιστικές- ιδιαίτερα σχετικά με τα κτίρια και την κατανάλωση ανά νοικοκυριό και συσκευές γραφείου , καθώς και σχετικά με τις μεταφορές .",3
"Θα πρέπει να ανεχθούν τη σχεδόν ανεξέλεγκτη λαθρομετανάστευση και την παρανομία , καθώς και τη συνακόλουθη αδήλωτη απασχόληση .",3
"Πράγματι , αυτή η έκθεση μας υπενθυμίζει ότι οι ανισότητες επηρεάζουν επίσης τις υπηρεσίες υγείας και ότι είναι σημαντικό να αντιμετωπιστούν οι βασικές αιτίες αυτών των ανισοτήτων έτσι ώστε όλοι οι ευρωπαίοι πολίτες να μπορούν να απολαύσουν επιτέλους τα θεμελιώδη κοινωνικά τους δικαιώματα .",3
"Στις μικρές πόλεις , οι άνθρωποι πολύ συχνά κλείνουν τα μάτια τους διότι δεν θέλουν να μιλήσουν για  ευαίσθητες πληροφορίες  που γνωρίζουν , και ίσως φοβούνται να ενημερώσουν τις αρχές .",3
"Οδηγεί σε παραλογισμούς όπως αυτός της απόφασης της Γαλλίας να συνυπολογίζονται ανενεργές περίοδοι στα συνταξιοδοτικά δικαιώματα των ανδρών , δικαίωμα το οποίο εκχωρείτο , μέχρι στιγμής , μόνο στις γυναίκες , σε αντιστάθμιση -τρόπον τινά- των προβλημάτων σταδιοδρομίας που τους δημιουργεί ενδεχομένως η μητρότητα και ο χρόνος που αφιερώνουν στην ανατροφή των παιδιών τους .",3
"Άρα , τι είναι η διακυβέρνηση και η εταιρική σχέση ;",3
"Δεύτερον , το αδίκημα που αποκαλείται "" ηλεκτρονική παρενόχληση "" ( grooming ) , ήτοι , η ψυχολογική χειραγώγηση παιδιών για σεξουαλικούς σκοπούς μέσω του Ίντερνετ , θα πρέπει να θεωρείται ποινικό αδίκημα σε όλα τα κράτη μέλη .",3
"Τα διαρθρωτικά ταμεία και , ειδικότερα , το Ευρωπαϊκό Κοινωνικό Ταμείο , συνιστούν στρατηγικά μέσα για την παροχή συνδρομής στα κράτη μέλη για την καταπολέμηση της φτώχειας και του κοινωνικού αποκλεισμού .",3
