"Είδος.Τεκμηρίου"	"Θεματική"	"Διάλεκτος"	"Κοινωνιόλεκτος"	"Jargon"	"Ύφος"	"Ποικιλία"	"Ιστορική.Περίοδος"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"ναι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	NA	NA	NA	NA	NA	NA
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"θεολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"ναι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"ναι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"οικονομία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	"θεολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"ναι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"αττική"	"οχι"	"οχι"	"λογοτεχνικό"	"προμεσαιωνική"	"ελληνιστική"
"fragmentum"	"βιβλιογραφία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
NA	NA	NA	NA	NA	NA	NA	NA
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"ναι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"ναι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	NA	NA	NA	NA	NA	NA
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"αττική"	"οχι"	"οχι"	"λογοτεχνικό"	"προμεσαιωνική"	"ελληνιστική"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
NA	NA	NA	NA	NA	NA	NA	NA
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"ναι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"φιλοσοφία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"δημοτική"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"φιλολογία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"κνε"	"νε"
"fragmentum"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"κνε"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"ουδέτερο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
"fragmentum"	NA	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"κνε"	"νε"
"fragmentum"	"τραγωδία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"δημοτική"	"νε"
"fragmentum"	"στρατιωτική"	"οχι"	"οχι"	"ναι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"ιστορία"	"οχι"	"οχι"	"οχι"	"ανεπίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	NA	"οχι"	"οχι"	"οχι"	"επίσημο"	"καθαρεύουσα"	"νε"
"χωρίο"	"λογοτεχνία"	"οχι"	"οχι"	"οχι"	"λογοτεχνικό"	"καθαρεύουσα"	"νε"
